tabla,sexo,x,lx,dx,qx,px,mu,ex,fuente,qx_calculado,diferencia_qx
BEPS_2014,Hombres,66,819244,14076,0.017181,0.982819,,16.8,r0110_14,0.01718169,-6.9e-07
BEPS_2014,Hombres,67,805168,15307,0.019011,0.980989,,16.1,r0110_14,0.01901094,6e-08
BEPS_2014,Hombres,68,789861,16589,0.021003,0.978997,,15.4,r0110_14,0.02100243,5.7e-07
BEPS_2014,Hombres,69,773272,17917,0.02317,0.97683,,14.7,r0110_14,0.02317037,-3.7e-07
BEPS_2014,Hombres,70,755355,19282,0.025527,0.974473,,14.1,r0110_14,0.02552707,-7e-08
BEPS_2014,Hombres,71,736073,20679,0.028094,0.971906,,13.4,r0110_14,0.02809368,3.2e-07
BEPS_2014,Hombres,72,715394,22094,0.030884,0.969116,,12.8,r0110_14,0.03088368,3.2e-07
BEPS_2014,Hombres,73,693300,23515,0.033918,0.966082,,12.2,r0110_14,0.0339175,5e-07
BEPS_2014,Hombres,74,669785,24927,0.037217,0.962783,,11.6,r0110_14,0.03721642,5.8e-07
BEPS_2014,Hombres,75,644857,26312,0.040803,0.959197,,11.0,r0110_14,0.04080284,1.6e-07
BEPS_2014,Hombres,76,618545,27648,0.044699,0.955301,,10.5,r0110_14,0.04469845,5.5e-07
BEPS_2014,Hombres,77,590897,28913,0.048931,0.951069,,10.0,r0110_14,0.04893069,3.1e-07
BEPS_2014,Hombres,78,561984,30083,0.053529,0.946471,,9.4,r0110_14,0.05352999,-9.9e-07
BEPS_2014,Hombres,79,531901,31126,0.058519,0.941481,,9.0,r0110_14,0.05851841,5.9e-07
BEPS_2014,Hombres,80,500775,32016,0.063933,0.936067,,8.5,r0110_14,0.0639329,1e-07
BEPS_2014,Hombres,81,468759,32515,0.069364,0.930636,,8.0,r0110_14,0.069364,0.0
BEPS_2014,Hombres,82,436244,32830,0.075255,0.924745,,7.6,r0110_14,0.07525605,-1.05e-06
BEPS_2014,Hombres,83,403414,32938,0.081648,0.918352,,7.2,r0110_14,0.08164813,-1.3e-07
BEPS_2014,Hombres,84,370476,32818,0.088583,0.911417,,6.8,r0110_14,0.08858334,-3.4e-07
BEPS_2014,Hombres,85,337658,32451,0.096107,0.903893,,6.4,r0110_14,0.09610612,8.8e-07
BEPS_2014,Hombres,86,305207,31824,0.104271,0.895729,,6.0,r0110_14,0.10427022,7.8e-07
BEPS_2014,Hombres,87,273383,30927,0.113128,0.886872,,5.6,r0110_14,0.113127,1e-06
BEPS_2014,Hombres,88,242456,29758,0.122737,0.877263,,5.3,r0110_14,0.12273567,1.33e-06
BEPS_2014,Hombres,89,212697,28323,0.133163,0.866837,,4.9,r0110_14,0.13316126,1.74e-06
BEPS_2014,Hombres,90,184374,26637,0.144474,0.855526,,4.6,r0110_14,0.14447265,1.35e-06
BEPS_2014,Hombres,91,157737,24725,0.156745,0.843255,,4.3,r0110_14,0.15674826,-3.26e-06
BEPS_2014,Hombres,92,133012,22620,0.17006,0.82994,,4.0,r0110_14,0.17005984,1.6e-07
BEPS_2014,Hombres,93,110392,20368,0.184505,0.815495,,3.8,r0110_14,0.18450612,-1.12e-06
BEPS_2014,Hombres,94,90024,18021,0.200177,0.799823,,3.5,r0110_14,0.20017995,-2.95e-06
BEPS_2014,Hombres,95,72004,15638,0.21718,0.78282,,3.3,r0110_14,0.21718238,-2.38e-06
BEPS_2014,Hombres,96,56366,13281,0.235628,0.764372,,3.0,r0110_14,0.23562076,7.24e-06
BEPS_2014,Hombres,97,43084,11014,0.255642,0.744358,,2.8,r0110_14,0.25564014,1.86e-06
BEPS_2014,Hombres,98,32070,8895,0.277357,0.722643,,2.6,r0110_14,0.27736202,-5.02e-06
BEPS_2014,Hombres,99,23175,6974,0.300916,0.699084,,2.4,r0110_14,0.30092772,-1.172e-05
BEPS_2014,Hombres,100,16202,5289,0.326476,0.673524,,2.2,r0110_14,0.32644118,3.482e-05
BEPS_2014,Hombres,101,10912,3865,0.354208,0.645792,,2.0,r0110_14,0.35419721,1.079e-05
BEPS_2014,Hombres,102,7047,2708,0.384295,0.615705,,1.8,r0110_14,0.384277,1.8e-05
BEPS_2014,Hombres,103,4339,1809,0.416937,0.583063,,1.7,r0110_14,0.41691634,2.066e-05
BEPS_2014,Hombres,104,2530,1144,0.452353,0.547647,,1.5,r0110_14,0.45217391,0.00017909
BEPS_2014,Hombres,105,1385,680,0.490776,0.509224,,1.4,r0110_14,0.49097473,-0.00019873
BEPS_2014,Hombres,106,706,376,0.532464,0.467536,,1.3,r0110_14,0.5325779,-0.0001139
BEPS_2014,Hombres,107,330,191,0.577692,0.422308,,1.1,r0110_14,0.57878788,-0.00109588
BEPS_2014,Hombres,108,139,87,0.626762,0.373238,,1.0,r0110_14,0.62589928,0.00086272
BEPS_2014,Hombres,109,52,35,0.68,0.32,,0.8,r0110_14,0.67307692,0.00692308
BEPS_2014,Hombres,110,17,17,1.0,0.0,,0.5,r0110_14,1.0,0.0
BEPS_2014,Mujeres,15,1000000,293,0.000293,0.999707,,68.5,r0110_14,0.000293,0.0
BEPS_2014,Mujeres,16,999707,301,0.000301,0.999699,,67.5,r0110_14,0.00030109,-9e-08
BEPS_2014,Mujeres,17,999406,309,0.000309,0.999691,,66.5,r0110_14,0.00030918,-1.8e-07
BEPS_2014,Mujeres,18,999097,318,0.000318,0.999682,,65.5,r0110_14,0.00031829,-2.9e-07
