country,country_code,continent,region,year,sex,age,mx,qx,px,lx,dx,source
Australia,36,Oceania,Australia/New Zealand,2023,both,100,0.50157966,1,0,2629.2060868977896,2629.2060868977896,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,0,0.00306751,0.0030628123961733067,0.9969371876038267,100000,306.28123961733064,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,1,3.7715e-4,3.7707889234787553e-4,0.9996229211076522,99693.71876038266,37.59239704420571,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,2,1.1425e-4,1.1424347384155678e-4,0.9998857565261584,99656.12636333847,11.385062065340936,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,3,1.1367e-4,1.1366353993270792e-4,0.9998863364600673,99644.74130127313,11.325974031981607,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,4,3.848e-5,3.847925965904415e-5,0.999961520740341,99633.41532724113,3.8338200590943012,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,5,8.786e-5,8.785614047974873e-5,0.9999121438595202,99629.58150718204,8.753070508833561,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,6,6.367e-5,6.366797313007541e-5,0.9999363320268699,99620.8284366732,6.342656228101961,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,7,5.66e-5,5.6598398265329084e-5,0.9999434016017347,99614.4857804451,5.638020339197593,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,8,4.782e-5,4.781885665113747e-5,0.9999521811433488,99608.84776010591,4.76318121222548,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,9,5e-6,4.999987500031251e-6,0.9999950000125,99604.08457889369,0.4980191778465239,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,10,5e-6,4.999987500031251e-6,0.9999950000125,99603.58655971583,0.4980166877568598,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,11,5e-6,4.999987500031251e-6,0.9999950000125,99603.08854302808,0.4980141976796463,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,12,5e-6,4.999987500031251e-6,0.9999950000125,99602.59052883039,0.498011707614883,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,13,5e-6,4.999987500031251e-6,0.9999950000125,99602.09251712277,0.49800921756257005,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,14,5e-6,4.999987500031251e-6,0.9999950000125,99601.59450790522,0.49800672752270736,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,15,5e-6,4.999987500031251e-6,0.9999950000125,99601.0965011777,0.4980042374952949,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,16,5e-6,4.999987500031251e-6,0.9999950000125,99600.59849694019,0.4980017474803323,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,17,7.79e-6,7.789969658068181e-6,0.9999922100303419,99600.10049519272,0.7758817607980929,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,18,5e-6,4.999987500031251e-6,0.9999950000125,99599.32461343192,0.49799537807871447,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,19,4.192e-5,4.191912137521597e-5,0.9999580808786248,99598.82661805383,4.17509530183129,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,20,1.0882e-4,1.0881407942593845e-4,0.999891185920574,99594.65152275201,10.8373003211954,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,21,1.046e-4,1.0459452970609638e-4,0.9998954054702939,99583.81422243081,10.415922214934422,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,22,1.0412e-4,1.0411457979497586e-4,0.999895885420205,99573.39830021588,10.36704252278474,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,23,1.1547e-4,1.1546333372442744e-4,0.9998845366662755,99563.03125769309,11.495879504722618,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,24,1.0455e-4,1.0454453493443629e-4,0.9998954554650655,99551.53537818836,10.407568968121783,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,25,2.375e-5,2.3749717972099084e-5,0.9999762502820279,99541.12780922023,2.3640737120936497,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,26,7.465e-5,7.464721379274518e-5,0.9999253527862072,99538.76373550814,7.430291377230026,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,27,3.557e-5,3.556936739880081e-5,0.9999644306326012,99531.3334441309,3.5402665669668427,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,28,1.792e-5,1.7919839438238635e-05,0.9999820801605618,99527.79317756394,1.7835220733841686,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,29,5e-6,4.999987500031251e-6,0.9999950000125,99526.00965549056,0.49762880420544237,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,30,5e-6,4.999987500031251e-6,0.9999950000125,99525.51202668635,0.4976263160676417,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,31,5e-6,4.999987500031251e-6,0.9999950000125,99525.01440037029,0.49762382794228166,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,32,4.671e-5,4.670890911342766e-5,0.9999532910908866,99524.51677654234,4.648681608673322,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,33,2.94e-5,2.9399567826352955e-5,0.9999706004321737,99519.86809493367,2.925841112126702,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,34,4.274e-5,4.2739086665717956e-5,0.9999572609133343,99516.94225382154,4.253263219693328,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,35,9.782e-5,9.781521585779239e-5,0.9999021847841422,99512.68899060185,9.733855154205079,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,36,1.4016e-4,1.4015017827550646e-4,0.9998598498217245,99502.95513544763,13.945356901172707,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,37,5.648e-5,5.6478405049841395e-5,0.9999435215949501,99489.00977854646,5.618980592280378,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,38,1.976e-4,1.9758047904867e-4,0.9998024195209513,99483.39079795418,19.655976011245837,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,39,2.9458e-4,2.9453661770157877e-4,0.9997054633822984,99463.73482194293,29.29571203842181,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,40,2.6729e-4,2.67254282801375e-4,0.9997327457171986,99434.4391099045,26.57427971007452,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,41,2.9301e-4,2.929670788581119e-4,0.9997070329211419,99407.86483019442,29.1232317748241,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,42,4.1121e-4,4.11125470547628e-4,0.9995888745294523,99378.74159841961,40.8571319020814,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,43,5.0874e-4,5.086106247153912e-4,0.9994913893752846,99337.88446651753,50.52430347642084,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,44,7.0029e-4,7.000448827845174e-4,0.9992999551172155,99287.3601630411,69.50560840732027,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,45,7.438e-4,7.435234836164431e-4,0.9992564765163836,99217.85455463378,73.77080485541089,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,46,9.3259e-4,9.321553406254429e-4,0.9990678446593746,99144.08374977838,92.41768715877211,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,47,0.00102195,0.0010214280757889736,0.998978571924211,99051.66606261961,101.17415267003354,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,48,0.00109871,0.0010981067495665917,0.9989018932504334,98950.49190994957,108.65820303925005,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,49,0.0012239,0.001223151492444199,0.9987768485075558,98841.83370691033,120.89853641452869,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,50,0.00122988,0.0012291241623875815,0.9987708758376124,98720.9351704958,121.34028675155439,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,51,0.0013828,0.0013818445926486427,0.9986181554073513,98599.59488374424,136.24931702744877,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,52,0.00148054,0.0014794448113894727,0.9985205551886105,98463.34556671679,145.6710857107278,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,53,0.00162791,0.0016265860321661883,0.9983734139678339,98317.67448100606,159.92215602586657,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,54,0.0021975,0.0021950881468985953,0.9978049118531014,98157.7523249802,215.46491865477208,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,female,55,0.00236992,0.002367115063334551,0.9976328849366655,97942.28740632541,231.8406638569548,"United Nations, World Population Prospects 2024"
